entry_time,exit_time,direction,setup_type,entry_price,exit_price,pnl,exit_reason,risk_distance,planned_sl,planned_tp,R,signal_bar_time,range_high,range_low,sweep_bar_idx,compression_atr,partial_tp_hit,partial_exit_time,partial_exit_price,best_price,entry_type
2022-09-29 22:10:00+00:00,2022-09-30 00:35:00+00:00,LONG,VCLSMB,11193.659,11169.691091997429,-1.0,SL,23.967908002570766,11169.691091997429,11241.594816005141,-1.0,2022-09-29 22:05:00+00:00,11171.899,11171.899,183144,7.359693341902557,False,,,11193.659,first
2022-10-16 22:30:00+00:00,2022-10-17 07:00:00+00:00,LONG,VCLSMB,10746.189,10813.781171795183,2.0,TP,33.79608589759118,10712.39291410241,10813.781171795183,2.0,2022-10-16 22:25:00+00:00,10714.359,10714.359,188040,6.553619658635115,False,,,10746.189,first
2022-11-02 00:10:00+00:00,2022-11-02 00:30:00+00:00,SHORT,VCLSMB,11277.809,11296.778151356892,-1.0,SL,18.969151356892326,11296.778151356892,11239.870697286215,-1.0,2022-11-02 00:05:00+00:00,11294.809,11258.377,192651,6.563837856304784,False,,,11277.809,first
2022-11-09 23:15:00+00:00,2022-11-09 23:45:00+00:00,SHORT,VCLSMB,10800.387,10813.431022225668,-1.0,SL,13.044022225667504,10813.431022225668,10774.298955548666,-1.0,2022-11-09 23:10:00+00:00,10811.769,10811.769,194964,5.540074085558819,False,,,10800.387,first
2022-11-09 23:55:00+00:00,2022-11-10 00:05:00+00:00,SHORT,VCLSMB,10810.399,10813.52678308994,-1.0,SL,3.1277830899398396,10813.52678308994,10804.14343382012,-1.0,2022-11-09 23:50:00+00:00,10811.769,10811.769,194964,5.859276966463903,False,,,10810.399,pullback
2022-11-22 00:05:00+00:00,2022-11-22 05:25:00+00:00,LONG,VCLSMB,11574.499,11560.594252981578,-1.0,SL,13.904747018421403,11560.594252981578,11602.308494036843,-1.0,2022-11-22 00:00:00+00:00,11562.199,11562.199,198420,5.349156728075599,False,,,11574.499,first
2022-11-25 00:10:00+00:00,2022-11-25 08:45:00+00:00,SHORT,VCLSMB,11882.217,11857.052917020377,2.0,TP,12.582041489811672,11894.799041489812,11857.052917020377,2.0,2022-11-25 00:05:00+00:00,11893.989,11893.989,199284,2.700138299377794,False,,,11882.217,first
2022-12-04 23:20:00+00:00,2022-12-04 23:55:00+00:00,SHORT,VCLSMB,11965.637,11984.87995082778,-1.0,SL,19.242950827780078,11984.87995082778,11927.15109834444,-1.0,2022-12-04 23:15:00+00:00,11983.879,11983.879,202164,3.336502759266926,False,,,11965.637,first
2022-12-05 00:05:00+00:00,2022-12-05 00:20:00+00:00,SHORT,VCLSMB,11973.967,11985.667683608392,-1.0,SL,11.700683608391046,11985.667683608392,11950.565632783218,-1.0,2022-12-05 00:00:00+00:00,11983.879,11983.879,202164,5.96227869463808,False,,,11973.967,pullback
2022-12-11 23:35:00+00:00,2022-12-12 07:40:00+00:00,SHORT,VCLSMB,11525.857,11562.680366796443,-1.0,SL,36.823366796443224,11562.680366796443,11452.210266407114,-1.0,2022-12-11 23:30:00+00:00,11561.399,11561.399,204180,4.271222654812691,False,,,11525.857,first
2022-12-12 07:50:00+00:00,2022-12-12 07:50:00+00:00,SHORT,VCLSMB,11562.689,11563.445371213307,-1.0,SL,0.7563712133069203,11563.445371213307,11561.176257573386,-1.0,2022-12-12 07:45:00+00:00,11561.399,11561.399,204180,6.821237377692753,False,,,11562.689,pullback
2022-12-21 23:10:00+00:00,2022-12-21 23:35:00+00:00,SHORT,VCLSMB,11243.409,11253.489748392749,-1.0,SL,10.080748392749229,11253.489748392749,11223.247503214501,-1.0,2022-12-21 23:05:00+00:00,11252.289,11252.289,207060,4.002494642495004,False,,,11243.409,first
2022-12-21 23:45:00+00:00,2022-12-21 23:45:00+00:00,SHORT,VCLSMB,11251.747,11247.708775254912,2.0,TP,2.019112372543532,11253.766112372543,11247.708775254912,2.0,2022-12-21 23:40:00+00:00,11252.289,11252.289,207060,4.9237079084764765,False,,,11251.747,pullback
2023-01-04 00:25:00+00:00,2023-01-04 08:20:00+00:00,LONG,VCLSMB,10877.359,10940.036060541377,2.0,TP,31.338530270688352,10846.020469729312,10940.036060541377,2.0,2023-01-04 00:20:00+00:00,10847.759,10847.759,210516,5.795100902294097,False,,,10877.359,first
2023-01-10 01:55:00+00:00,2023-01-10 02:20:00+00:00,LONG,VCLSMB,11095.349,11091.294726719907,-1.0,SL,4.054273280093184,11091.294726719907,11103.457546560187,-1.0,2023-01-10 01:50:00+00:00,11107.097,11093.199,212255,6.347577600310481,False,,,11095.349,first
2023-01-18 23:10:00+00:00,2023-01-19 00:05:00+00:00,LONG,VCLSMB,11419.839,11401.67413684897,-1.0,SL,18.16486315103066,11401.67413684897,11456.168726302061,-1.0,2023-01-18 23:05:00+00:00,11402.869,11402.869,214836,3.982877170103386,False,,,11419.839,first
2023-01-19 00:15:00+00:00,2023-01-19 00:15:00+00:00,LONG,VCLSMB,11404.677,11401.22735523898,-1.0,SL,3.449644761019954,11401.22735523898,11411.57628952204,-1.0,2023-01-19 00:10:00+00:00,11402.869,11402.869,214836,5.472149203403627,False,,,11404.677,pullback
2023-01-22 23:35:00+00:00,2023-01-23 02:05:00+00:00,SHORT,VCLSMB,11595.057,11604.5862485208,-1.0,SL,9.529248520799229,11604.5862485208,11575.998502958402,-1.0,2023-01-22 23:30:00+00:00,11603.569,11603.569,215988,3.3908284026684377,False,,,11595.057,first
2023-01-24 23:10:00+00:00,2023-01-25 01:55:00+00:00,SHORT,VCLSMB,11854.569,11743.444869170788,2.0,TP,55.56206541460597,11910.131065414605,11743.444869170788,2.0,2023-01-24 23:05:00+00:00,11907.379,11907.379,216564,9.173551382018209,False,,,11854.569,first
2023-01-31 23:15:00+00:00,2023-02-01 00:00:00+00:00,SHORT,VCLSMB,12046.647,12059.401726386364,-1.0,SL,12.754726386363473,12059.401726386364,12021.137547227274,-1.0,2023-01-31 23:10:00+00:00,12057.989,12057.989,218580,4.70908795454979,False,,,12046.647,first
