timestamp,open,high,low,close
1772874900000,24628.888,24628.888,24628.888,24628.888
1772874960000,24628.888,24628.888,24628.888,24628.888
1772875020000,24628.888,24628.888,24628.888,24628.888
1772875080000,24628.888,24628.888,24628.888,24628.888
1772875140000,24628.888,24628.888,24628.888,24628.888
1772875200000,24628.888,24628.888,24628.888,24628.888
1772875260000,24628.888,24628.888,24628.888,24628.888
1772875320000,24628.888,24628.888,24628.888,24628.888
1772875380000,24628.888,24628.888,24628.888,24628.888
1772875440000,24628.888,24628.888,24628.888,24628.888
1772875500000,24628.888,24628.888,24628.888,24628.888
1772875560000,24628.888,24628.888,24628.888,24628.888
1772875620000,24628.888,24628.888,24628.888,24628.888
1772875680000,24628.888,24628.888,24628.888,24628.888
1772875740000,24628.888,24628.888,24628.888,24628.888
1772875800000,24628.888,24628.888,24628.888,24628.888
1772875860000,24628.888,24628.888,24628.888,24628.888
1772875920000,24628.888,24628.888,24628.888,24628.888
1772875980000,24628.888,24628.888,24628.888,24628.888
1772876040000,24628.888,24628.888,24628.888,24628.888
1772876100000,24628.888,24628.888,24628.888,24628.888
1772876160000,24628.888,24628.888,24628.888,24628.888
1772876220000,24628.888,24628.888,24628.888,24628.888
1772876280000,24628.888,24628.888,24628.888,24628.888
1772876340000,24628.888,24628.888,24628.888,24628.888
1772876400000,24628.888,24628.888,24628.888,24628.888
1772876460000,24628.888,24628.888,24628.888,24628.888
1772876520000,24628.888,24628.888,24628.888,24628.888
1772876580000,24628.888,24628.888,24628.888,24628.888
1772876640000,24628.888,24628.888,24628.888,24628.888
1772876700000,24628.888,24628.888,24628.888,24628.888
1772876760000,24628.888,24628.888,24628.888,24628.888
1772876820000,24628.888,24628.888,24628.888,24628.888
1772876880000,24628.888,24628.888,24628.888,24628.888
1772876940000,24628.888,24628.888,24628.888,24628.888
1772877000000,24628.888,24628.888,24628.888,24628.888
1772877060000,24628.888,24628.888,24628.888,24628.888
1772877120000,24628.888,24628.888,24628.888,24628.888
1772877180000,24628.888,24628.888,24628.888,24628.888
1772877240000,24628.888,24628.888,24628.888,24628.888
1772877300000,24628.888,24628.888,24628.888,24628.888
1772877360000,24628.888,24628.888,24628.888,24628.888
1772877420000,24628.888,24628.888,24628.888,24628.888
1772877480000,24628.888,24628.888,24628.888,24628.888
1772877540000,24628.888,24628.888,24628.888,24628.888
1772877600000,24628.888,24628.888,24628.888,24628.888
1772877660000,24628.888,24628.888,24628.888,24628.888
1772877720000,24628.888,24628.888,24628.888,24628.888
1772877780000,24628.888,24628.888,24628.888,24628.888
1772877840000,24628.888,24628.888,24628.888,24628.888
1772877900000,24628.888,24628.888,24628.888,24628.888
1772877960000,24628.888,24628.888,24628.888,24628.888
1772878020000,24628.888,24628.888,24628.888,24628.888
1772878080000,24628.888,24628.888,24628.888,24628.888
1772878140000,24628.888,24628.888,24628.888,24628.888
1772878200000,24628.888,24628.888,24628.888,24628.888
1772878260000,24628.888,24628.888,24628.888,24628.888
