sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
0.75,1.3,0.65,30,False,50,45,13.33,-0.6,0.3077,27.0,69,40.58,0.2174,1.3659,7.0,,False,2.0466356807955317,True
0.75,1.3,0.75,12,False,50,26,23.08,-0.3077,0.6,8.0,45,42.22,0.2667,1.4615,9.0,,False,2.086313112611353,True
0.75,1.3,0.75,20,False,50,30,20.0,-0.4,0.5,12.0,56,41.07,0.2321,1.3939,5.0,,False,2.163876392141395,True
0.75,1.3,0.75,30,False,50,38,15.79,-0.5263,0.375,20.0,62,41.94,0.2581,1.4444,6.0,,False,2.268052432433471,True
0.75,1.6,0.55,12,False,50,22,27.27,-0.1818,0.75,7.0,46,41.3,0.2391,1.4074,5.0,,False,2.153979062598578,True
0.75,1.6,0.55,20,False,50,27,22.22,-0.3333,0.5714,10.0,53,37.74,0.1321,1.2121,8.0,,False,1.518982446434062,True
0.75,1.6,0.55,30,False,50,33,18.18,-0.4545,0.4444,15.0,57,36.84,0.1053,1.1667,7.0,,False,1.460601738871318,True
0.75,1.6,0.65,12,False,50,21,28.57,-0.1429,0.8,6.0,43,39.53,0.186,1.3077,4.0,,False,1.9312041697153672,True
0.75,1.6,0.65,20,False,50,26,23.08,-0.3077,0.6,9.0,50,36.0,0.08,1.125,7.0,,False,1.3123017787506803,True
0.75,1.6,0.65,30,False,50,32,18.75,-0.4375,0.4615,14.0,54,35.19,0.0556,1.0857,7.0,,False,1.2174671960422527,True
0.75,1.6,0.75,12,False,50,17,29.41,-0.1176,0.8333,5.0,38,39.47,0.1842,1.3043,8.0,,False,,False
0.75,1.6,0.75,20,False,50,21,23.81,-0.2857,0.625,7.0,43,37.21,0.1163,1.1852,9.0,,False,1.3496041697153673,True
0.75,1.6,0.75,30,False,50,27,18.52,-0.4444,0.4545,12.0,47,36.17,0.0851,1.1333,10.0,,False,1.1724202627627425,True
