sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,liquidity_level_atr_mult,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
0.5,1.0,0.75,20,6.0,False,50,17,35.29,0.0588,1.0909,5.0,32,31.25,-0.0625,0.9091,7.0,,False,,False
0.5,1.0,0.75,20,10.0,False,50,23,34.78,0.0435,1.0667,7.0,39,33.33,0.0,1.0,7.0,1.01326032415676,True,,False
0.5,1.0,0.75,30,2.0,False,50,14,28.57,-0.1429,0.8,4.0,17,35.29,0.0588,1.0909,5.0,,False,,False
0.5,1.0,0.75,30,4.0,False,50,20,30.0,-0.1,0.8571,5.0,31,25.81,-0.2258,0.6957,9.0,,False,,False
0.5,1.0,0.75,30,6.0,False,50,25,28.0,-0.16,0.7778,6.0,47,25.53,-0.234,0.6857,12.0,,False,,False
0.5,1.0,0.75,30,10.0,False,50,36,27.78,-0.1667,0.7692,9.0,59,27.12,-0.1864,0.7442,14.0,,False,,False
0.5,1.3,0.55,12,2.0,False,50,13,38.46,0.1538,1.25,4.0,17,41.18,0.2353,1.4,3.0,,False,,False
0.5,1.3,0.55,12,4.0,False,50,18,27.78,-0.1667,0.7692,7.0,22,36.36,0.0909,1.1429,4.0,,False,1.3762153376207542,True
0.5,1.3,0.55,12,6.0,False,50,22,27.27,-0.1818,0.75,9.0,28,35.71,0.0714,1.1111,6.0,,False,1.217759134246479,True
0.5,1.3,0.55,12,10.0,False,50,27,25.93,-0.2222,0.7,9.0,31,35.48,0.0645,1.1,6.0,,False,1.2012261991466957,True
0.5,1.3,0.55,20,2.0,False,50,14,35.71,0.0714,1.1111,5.0,22,40.91,0.2273,1.3846,3.0,,False,2.0771153376207545,True
0.5,1.3,0.55,20,4.0,False,50,21,23.81,-0.2857,0.625,10.0,28,35.71,0.0714,1.1111,4.0,,False,1.3177591342464792,True
0.5,1.3,0.55,20,6.0,False,50,25,24.0,-0.28,0.6316,12.0,40,37.5,0.125,1.2,6.0,,False,1.5264866859365869,True
0.5,1.3,0.55,20,10.0,False,50,31,22.58,-0.3226,0.5833,12.0,47,36.17,0.0851,1.1333,8.0,,False,1.2724202627627426,True
0.5,1.3,0.55,30,2.0,False,50,18,33.33,0.0,1.0,7.0,24,37.5,0.125,1.2,4.0,,False,1.546446425781928,True
0.5,1.3,0.55,30,4.0,False,50,26,23.08,-0.3077,0.6,13.0,36,30.56,-0.0833,0.88,6.0,,False,,False
0.5,1.3,0.55,30,6.0,False,50,32,21.88,-0.3438,0.56,16.0,54,31.48,-0.0556,0.9189,9.0,,False,,False
0.5,1.3,0.55,30,10.0,False,50,43,20.93,-0.3721,0.5294,17.0,68,29.41,-0.1176,0.8333,14.0,,False,,False
0.5,1.3,0.65,12,2.0,False,50,9,44.44,0.3333,1.6,2.0,15,33.33,0.0,1.0,5.0,,False,,False
0.5,1.3,0.65,12,4.0,False,50,12,33.33,0.0,1.0,4.0,19,31.58,-0.0526,0.9231,5.0,,False,,False
0.5,1.3,0.65,12,6.0,False,50,15,33.33,0.0,1.0,6.0,25,32.0,-0.04,0.9412,9.0,,False,,False
0.5,1.3,0.65,12,10.0,False,50,21,33.33,0.0,1.0,6.0,28,32.14,-0.0357,0.9474,9.0,,False,,False
0.5,1.3,0.65,20,2.0,False,50,10,40.0,0.2,1.3333,3.0,20,35.0,0.05,1.0769,6.0,,False,1.076434878122122,True
0.5,1.3,0.65,20,4.0,False,50,15,26.67,-0.2,0.7273,7.0,25,32.0,-0.04,0.9412,8.0,,False,,False
0.5,1.3,0.65,20,6.0,False,50,18,27.78,-0.1667,0.7692,9.0,36,36.11,0.0833,1.1304,9.0,,False,1.162679000772445,True
0.5,1.3,0.65,20,10.0,False,50,25,28.0,-0.16,0.7778,7.0,43,34.88,0.0465,1.0714,10.0,,False,0.976404169715367,True
0.5,1.3,0.65,30,2.0,False,50,13,30.77,-0.0769,0.8889,5.0,22,31.82,-0.0455,0.9333,7.0,,False,,False
0.5,1.3,0.65,30,4.0,False,50,19,21.05,-0.3684,0.5333,10.0,33,27.27,-0.1818,0.75,10.0,,False,,False
0.5,1.3,0.65,30,6.0,False,50,24,20.83,-0.375,0.5263,13.0,50,30.0,-0.1,0.8571,12.0,,False,,False
