sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
0.75,1.0,0.75,12,False,50,50,28.0,-0.16,0.7778,8.0,66,34.85,0.0455,1.0698,17.0,,False,0.5543000000000002,True
0.75,1.0,0.75,20,False,50,55,27.27,-0.1818,0.75,11.0,79,34.18,0.0253,1.0385,14.0,,False,0.6514000000000001,True
0.75,1.0,0.75,30,False,50,66,24.24,-0.2727,0.64,19.0,89,35.96,0.0787,1.1228,12.0,,False,1.0259,True
0.75,1.3,0.55,12,False,50,58,25.86,-0.2241,0.6977,13.0,71,39.44,0.1831,1.3023,7.0,,False,1.7146,True
0.75,1.3,0.55,20,False,50,63,23.81,-0.2857,0.625,18.0,84,38.1,0.1429,1.2308,9.0,,False,1.4615,True
0.75,1.3,0.55,30,False,50,74,21.62,-0.3514,0.5517,26.0,91,38.46,0.1538,1.25,10.0,,False,1.4844,True
0.75,1.3,0.65,12,False,50,52,28.85,-0.1346,0.8108,8.0,67,37.31,0.1194,1.1905,11.0,,False,1.1997,True
0.75,1.3,0.65,20,False,50,57,26.32,-0.2105,0.7143,12.0,80,36.25,0.0875,1.1373,9.0,,False,1.1898,True
0.75,1.3,0.65,30,False,50,66,22.73,-0.3182,0.5882,21.0,87,36.78,0.1034,1.1636,10.0,,False,1.2348,True
0.75,1.3,0.75,12,False,50,44,29.55,-0.1136,0.8387,7.0,58,37.93,0.1379,1.2222,13.0,,False,1.1599,True
0.75,1.3,0.75,20,False,50,48,27.08,-0.1875,0.7429,9.0,69,37.68,0.1304,1.2093,8.0,,False,1.4075,True
0.75,1.3,0.75,30,False,50,56,23.21,-0.3036,0.6047,17.0,76,38.16,0.1447,1.234,9.0,,False,1.4461,True
0.75,1.6,0.55,12,False,50,45,33.33,0.0,1.0,7.0,61,37.7,0.1311,1.2105,5.0,,False,1.5368,True
0.75,1.6,0.55,20,False,50,50,30.0,-0.1,0.8571,7.0,68,35.29,0.0588,1.0909,8.0,,False,1.0713000000000001,True
0.75,1.6,0.55,30,False,50,56,26.79,-0.1964,0.7317,11.0,72,34.72,0.0417,1.0638,7.0,,False,1.0549000000000002,True
0.75,1.6,0.65,12,False,50,42,35.71,0.0714,1.1111,7.0,57,35.09,0.0526,1.0811,7.0,1.1013,True,1.0598999999999998,True
0.75,1.6,0.65,20,False,50,47,31.91,-0.0426,0.9375,7.0,64,32.81,-0.0156,0.9767,10.0,,False,,False
0.75,1.6,0.65,30,False,50,53,28.3,-0.1509,0.7895,11.0,68,32.35,-0.0294,0.9565,9.0,,False,,False
0.75,1.6,0.75,12,False,50,33,33.33,0.0,1.0,6.0,49,34.69,0.0408,1.0625,10.0,,False,0.8319000000000001,True
0.75,1.6,0.75,20,False,50,37,29.73,-0.1081,0.8462,6.0,54,33.33,0.0,1.0,11.0,,False,,False
0.75,1.6,0.75,30,False,50,43,25.58,-0.2326,0.6875,10.0,58,32.76,-0.0172,0.9744,10.0,,False,,False
