entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,risk_distance,realized_distance,planned_sl,planned_tp,R,partial_tp_hit,partial_exit_time,partial_exit_price,entry_bar_time,exit_bar_time,entry_bar_low,entry_bar_high,exit_bar_low,exit_bar_high,entry_feasible,exit_feasible,violated_side
2024-02-19T15:00:00+00:00,2024-02-19T23:00:00+00:00,LONG,17734.243521428572,17683.432035714286,-5081148.571428639,SL,50.81148571428639,-50.81148571428639,17683.432035714286,17835.866492857145,-1.0,False,,,2024-02-19T15:00:00+00:00,2024-02-19T23:00:00+00:00,17714.642,17740.997,17680.409,17729.686,True,True,none
2024-02-21T20:00:00+00:00,2024-02-21T23:00:00+00:00,SHORT,17470.241014285715,17622.11,-15186898.571428537,SL,86.15162857142786,-151.86898571428537,17556.392642857143,17297.93775714286,-1.7628103871347203,False,,,2024-02-21T20:00:00+00:00,2024-02-21T23:00:00+00:00,17323.108,17482.576,17622.11,17653.32,True,True,none
2024-02-23T15:00:00+00:00,2024-02-23T16:00:00+00:00,LONG,18010.73820714286,17933.338428571427,-7739977.857143095,SL,77.39977857143094,-77.39977857143094,17933.338428571427,18165.53776428572,-1.0,False,,,2024-02-23T15:00:00+00:00,2024-02-23T16:00:00+00:00,17965.064,18043.889,17896.531,17988.086,True,True,none
2024-02-26T14:00:00+00:00,2024-02-27T18:00:00+00:00,LONG,17948.257135714284,17865.50867857143,-8274845.714285403,SL,82.74845714285402,-82.74845714285402,17865.50867857143,18113.754049999992,-1.0,False,,,2024-02-26T14:00:00+00:00,2024-02-27T18:00:00+00:00,17919.742,18003.598,17864.897,17928.165,True,True,none
2024-03-08T15:00:00+00:00,2024-03-08T16:00:00+00:00,LONG,18346.431285714283,18223.90814285714,-12252314.285714237,SL,122.52314285714237,-122.52314285714237,18223.90814285714,18591.477571428568,-1.0,False,,,2024-03-08T15:00:00+00:00,2024-03-08T16:00:00+00:00,18327.776,18419.087,18132.665,18366.986,True,True,none
2024-03-11T14:00:00+00:00,2024-03-12T05:00:00+00:00,SHORT,17908.877035714286,18062.884071428572,-15400703.571428675,SL,154.00703571428676,-154.00703571428676,18062.884071428572,17600.862964285712,-1.0,False,,,2024-03-11T14:00:00+00:00,2024-03-12T05:00:00+00:00,17874.719,18005.987,18053.72,18078.609,True,True,none
2024-03-12T16:00:00+00:00,2024-03-15T13:00:00+00:00,LONG,18096.55972857143,17881.397,-21516272.857142758,SL,215.16272857142758,-215.16272857142758,17881.397,18526.885185714284,-1.0,False,,,2024-03-12T16:00:00+00:00,2024-03-15T13:00:00+00:00,18063.776,18164.497,17821.675,18005.719,True,True,none
2024-03-21T16:00:00+00:00,2024-03-21T18:00:00+00:00,LONG,18434.26937857143,18325.586071428574,-10868330.714285549,SL,108.68330714285548,-108.68330714285548,18325.586071428574,18651.63599285714,-1.0,False,,,2024-03-21T16:00:00+00:00,2024-03-21T18:00:00+00:00,18433.409,18466.799,18311.52,18381.276,True,True,none
2024-03-25T14:00:00+00:00,2024-03-26T09:00:00+00:00,SHORT,18308.26225714286,18380.519535714287,-7225727.85714292,SL,72.2572785714292,-72.2572785714292,18380.519535714287,18163.7477,-1.0,False,,,2024-03-25T14:00:00+00:00,2024-03-26T09:00:00+00:00,18236.597,18312.776,18358.742,18383.508,True,True,none
2024-03-27T19:00:00+00:00,2024-03-31T23:00:00+00:00,SHORT,18241.079614285714,18377.212892857144,-13613327.85714294,SL,136.1332785714294,-136.1332785714294,18377.212892857144,17968.813057142856,-1.0,False,,,2024-03-27T19:00:00+00:00,2024-03-31T23:00:00+00:00,18176.397,18286.243,18354.187,18393.989,True,True,none
2024-04-08T15:00:00+00:00,2024-04-09T14:00:00+00:00,LONG,18162.384235714286,18015.41325,-14697098.571428433,SL,146.97098571428432,-146.97098571428432,18015.41325,18456.326207142854,-1.0,False,,,2024-04-08T15:00:00+00:00,2024-04-09T14:00:00+00:00,18086.054,18180.52,17969.987,18178.865,True,True,none
2024-04-15T14:00:00+00:00,2024-04-15T16:00:00+00:00,LONG,18095.917314285714,17978.45353571429,-11746377.857142579,SL,117.46377857142579,-117.46377857142579,17978.45353571429,18330.844871428566,-1.0,False,,,2024-04-15T14:00:00+00:00,2024-04-15T16:00:00+00:00,18000.475,18154.499,17912.653,18053.964,True,True,none
2024-04-17T18:00:00+00:00,2024-04-19T01:00:00+00:00,SHORT,17595.78037857143,17099.629278571436,49615109.99999955,TP,248.07554999999775,496.1510999999955,17843.85592857143,17099.629278571436,2.0,False,,,2024-04-17T18:00:00+00:00,2024-04-19T01:00:00+00:00,17524.975,17634.875,17087.721,17297.975,True,True,none
2024-04-19T19:00:00+00:00,2024-04-23T14:00:00+00:00,SHORT,17008.845757142855,17446.611857142856,-43776610.000000075,SL,437.76610000000073,-437.76610000000073,17446.611857142856,16133.313557142854,-1.0,False,,,2024-04-19T19:00:00+00:00,2024-04-23T14:00:00+00:00,16969.61,17061.143,17336.243,17460.986,True,True,none
